id|name|level|head|chest|shoulders|legs|wrist|hands|feet|back|main_hand|off_hand|both_hand
1|Osiris|2|16|2|19|22|3|25|5|6|||1
2|Sandy|1|10|8|20|23|9|25|5|18|||1
3|Oliver|2|10|8|21|24|3|25|5|6|||7
4|Ellena|3|4|14|20|24|3|26|17|6|||7
5|Brian|3|16|14|20|24|15|26|17|18|||13
6|Jayde|2|10|8|19|23|9|27|11|12|||1
7|Chris|2|4|14|19|22|3|25|11|12|||1
8|Conrad|1|4|8|20|22|9|27|5|18|||1
9|Eric|2|16|14|21|23|9|27|5|6|||1
10|Tony|3|16|2|21|23|15|26|11|6|||7
11|Bruce|1|4|2|21|22|15|26|17|6|||7
12|Dolph|2|4|2|19|24|3|27|5|18|||7
13|Drew|3|10|14|21|24|3|27|11|12|||7
14|Braun|2|10|8|19|23|9|25|5|18|||1
15|Finn|1|16|14|20|23|15|25|11|18|||1
16|Seth|3|10|14|20|22|15|27|17|12|||1
17|Roman|2|4|8|20|24|15|27|17|6|||1
18|Dean|2|4|2|19|23|15|25|5|12|||1
19|KO|2|16|2|19|23|9|25|11|18|||7
20|Sammy|1|4|8|21|22|9|25|5|12|||1
